CD_MUN,NM_MUN,SIGLA_UF,hi_max_c,hi_mean_c,month,precip_sum_mm,rh_mean_pct,tmax_c,tmean_c,tmin_c,year,ym,LOCATION
5008008,Terenos,MS,37.51576788,27.1609919,1,2200.222309,79.10405123,33.29381358,26.10701962,21.12647925,2001,2001-01,PLANALTO
5003488,Dois Irmãos do Buriti,MS,37.97417359,27.07286338,1,2223.426688,82.12731658,32.93882306,26.02324336,20.78492882,2001,2001-01,PLANALTO
5003108,Corguinho,MS,36.6244774,26.68577581,1,2264.546552,80.66846459,32.74464494,25.83094216,20.92709704,2001,2001-01,PLANALTO
5007307,Rio Negro,MS,36.2233932,26.60494947,1,2054.873769,80.77903601,32.36263268,25.74756374,20.90285474,2001,2001-01,PLANALTO
5007695,São Gabriel do Oeste,MS,34.82867231,25.42363118,1,2100.158364,80.00091694,31.57648705,25.12124108,20.32666479,2001,2001-01,PLANALTO
5001508,Bandeirantes,MS,35.03220386,25.47015867,1,2123.969023,79.91368243,32.27427848,25.12631991,20.40516321,2001,2001-01,PLANALTO
5007901,Sidrolândia,MS,36.56269793,26.1398895,1,2176.633898,80.66630839,32.3264758,25.54924645,20.33389547,2001,2001-01,PLANALTO
5007109,Ribas do Rio Pardo,MS,,,1,,,,,,2001,2001-01,PLANALTO
5002605,Camapuã,MS,35.24838902,25.89690887,1,1708.456362,77.91892481,32.61459707,25.48430855,20.49265126,2001,2001-01,PLANALTO
5004908,Jaraguari,MS,35.41206602,25.83743927,1,2026.458521,78.51419365,32.36820915,25.34948258,20.52602362,2001,2001-01,PLANALTO
5007505,Rochedo,MS,36.98778187,27.18959759,1,1828.387191,77.33126615,33.4452082,26.16244789,21.25039691,2001,2001-01,PLANALTO
5002704,Campo Grande,MS,36.28222828,26.286885,1,2249.131205,79.08582613,32.57505033,25.59536667,20.89618184,2001,2001-01,PLANALTO
5007406,Rio Verde de Mato Grosso,MS,37.26689999,27.80643746,1,1840.445,79.42123066,32.77184533,26.37394192,21.47536044,2001,2001-01,PLANÍCIE
